Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
,,,,,,
"C1, ",1,100uf,C_Polarized,Capacitor_Tantalum_SMD:CP_EIA-7132-28_AVX-C_Pad2.72x3.50mm_HandSolder,Polarized capacitor,
,,,,,,
"C2, C7, C9, ",3,10uf,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,
,,,,,,
"C3, C4, ",2,100nf,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,
,,,,,,
"C5, ",1,1uf,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,
,,,,,,
"C6, C8, ",2,470pf,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,
,,,,,,
"D1, ",1,3.3,LED,LED_SMD:LED_0201_0603Metric,Light emitting diode,
,,,,,,
"D2, ",1,TXD,LED,LED_SMD:LED_0201_0603Metric,Light emitting diode,
,,,,,,
"D3, ",1,RXD,LED,LED_SMD:LED_0201_0603Metric,Light emitting diode,
,,,,,,
"D4, ",1,B120-E3,B120-E3,Diode_SMD:D_SMF,"20V 1A Schottky Barrier Rectifier Diode, SMA(DO-214AC)",
,,,,,,
"J1, ",1,J1,Conn_01x15_Male,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical,"Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J2, ",1,J2,Conn_01x15_Male,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical,"Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J3, ",1,usbc,USB_C_Receptacle_USB2.0,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB 2.0-only Type-C Receptacle connector,
,,,,,,
"Q1, ",1,q1,Q_NPN_BEC,Package_TO_SOT_SMD:SOT-23,"NPN transistor, base/emitter/collector",
,,,,,,
"Q2, ",1,q2,Q_NPN_BEC,Package_TO_SOT_SMD:SOT-23,"NPN transistor, base/emitter/collector",
,,,,,,
"R1, R7, R9, R12, R13, ",5,470,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R2, R3, R10, R11, R14, R15, ",6,12K,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R4, R5, ",2,1k,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R6, ",1,12k,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R8, ",1,0,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R16, ",1,220K(1%),R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R17, ",1,100K(1%),R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"SW1, SW2, ",2,SW_Push,SW_Push,Button_Switch_SMD:SW_SPST_FSMSM,"Push button switch, generic, two pins",
,,,,,,
"U1, ",1,ESP-12E,ESP-12E,RF_Module:ESP-12E,802.11 b/g/n Wi-Fi Module,
,,,,,,
"U2, ",1,SPX3819M5-L-3-3,SPX3819M5-L-3-3,Package_TO_SOT_SMD:SOT-23-5,"500mA Low drop-out regulator, Fixed Output 3.3V, SOT-23-5",
,,,,,,
"U3, ",1,CH340C,CH340C,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"USB serial converter, UART, SOIC-16",
